"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
24,"Sun","2022-02-13","15:00","Clermont Foot",0.7,"1-2",0.7,"Saint-Étienne",12131,"Stade Gabriel Montpied","Ruddy Buquet","Match Report",NA
24,"Sun","2022-02-13","17:05","Lens",2,"3-2",1,"Bordeaux",32662,"Stade Bollaert-Delelis","François Letexier","Match Report",NA
24,"Sun","2022-02-13","20:45","Metz",1,"1-2",1.4,"Marseille",25482,"Stade Saint-Symphorien","Eric Wattellier","Match Report",NA
25,"Fri","2022-02-18","21:00","Lille",1.2,"0-0",0.4,"Metz",30384,"Stade Pierre-Mauroy","Bastien Dechepy","Match Report",NA
25,"Sat","2022-02-19","17:00","Lens",0.8,"1-1",1.1,"Lyon",36624,"Stade Bollaert-Delelis","Jérôme Brisard","Match Report",NA
25,"Sat","2022-02-19","21:00","Nantes",2.2,"3-1",3.9,"Paris S-G",35500,"Stade de la Beaujoire - Louis Fonteneau","Mikael Lesage","Match Report",NA
25,"Sun","2022-02-20","13:00","Nice",1.1,"1-0",0.9,"Angers",18257,"Stade de Nice","Romain Lissorgue","Match Report",NA
25,"Sun","2022-02-20","15:00","Saint-Étienne",1.4,"2-2",1.3,"Strasbourg",24897,"Stade Geoffroy-Guichard","Antony Gautier","Match Report",NA
25,"Sun","2022-02-20","15:00","Reims",0.6,"1-1",2.1,"Brest",9307,"Stade Auguste-Delaune II","Hakim Ben El Hadj Salem","Match Report",NA
25,"Sun","2022-02-20","15:00","Rennes",2.6,"4-1",0.4,"Troyes",22967,"Roazhon Park","Clément Turpin","Match Report",NA
25,"Sun","2022-02-20","15:00","Lorient",1.1,"0-1",0.3,"Montpellier",10135,"Stade Yves Allainmat - Le Moustoir","Jeremy Stinat","Match Report",NA
25,"Sun","2022-02-20","17:05","Bordeaux",0.9,"1-1",0.9,"Monaco",29557,"Stade Matmut-Atlantique","Jérémie Pignard","Match Report",NA
25,"Sun","2022-02-20","20:45","Marseille",1.4,"0-2",0.8,"Clermont Foot",53840,"Orange Vélodrome","Willy Delajod","Match Report",NA
26,"Fri","2022-02-25","21:00","Montpellier",1.1,"2-4",1.6,"Rennes",10000,"Stade de la Mosson","Amaury Delerue","Match Report",NA
26,"Sat","2022-02-26","17:00","Strasbourg",1,"0-0",0.1,"Nice",25150,"Stade de la Meinau","Stéphanie Frappart","Match Report",NA
26,"Sat","2022-02-26","21:00","Paris S-G",2.3,"3-1",0.9,"Saint-Étienne",45000,"Parc des Princes","Pierre Gaillouste","Match Report",NA
26,"Sun","2022-02-27","13:00","Monaco",1.6,"1-2",1.6,"Reims",3982,"Stade Louis II.","Benoît Millot","Match Report",NA
26,"Sun","2022-02-27","15:00","Angers",0.6,"1-2",0.6,"Lens",9499,"Stade Raymond Kopa","Thomas Léonard","Match Report",NA
26,"Sun","2022-02-27","15:00","Metz",0.4,"0-0",0.5,"Nantes",15851,"Stade Saint-Symphorien","Florent Batta","Match Report",NA
26,"Sun","2022-02-27","15:00","Clermont Foot",0.7,"1-1",0.7,"Bordeaux",12032,"Stade Gabriel Montpied","Eric Wattellier","Match Report",NA
26,"Sun","2022-02-27","15:00","Brest",0.3,"0-1",1.9,"Lorient",14050,"Stade Francis-Le Blé","Benoît Bastien","Match Report",NA
26,"Sun","2022-02-27","17:05","Troyes",1.4,"1-1",1.1,"Marseille",16871,"Stade de l'Aube","François Letexier","Match Report",NA
26,"Sun","2022-02-27","20:45","Lyon",1.7,"0-1",0.7,"Lille",42647,"Groupama Stadium","Clément Turpin","Match Report",NA
27,"Fri","2022-03-04","21:00","Lorient",1.1,"1-4",2.3,"Lyon",13497,"Stade Yves Allainmat - Le Moustoir","Romain Lissorgue","Match Report",NA
27,"Sat","2022-03-05","17:00","Lens",1.9,"0-1",0.5,"Brest",36305,"Stade Bollaert-Delelis","Johan Hamel","Match Report",NA
27,"Sat","2022-03-05","21:00","Nice",0.7,"1-0",0.7,"Paris S-G",31949,"Stade de Nice","Willy Delajod","Match Report",NA
27,"Sun","2022-03-06","13:00","Saint-Étienne",1.5,"1-0",0.6,"Metz",35706,"Stade Geoffroy-Guichard","Jeremy Stinat","Match Report",NA
27,"Sun","2022-03-06","15:00","Nantes",1.3,"2-0",0.3,"Montpellier",21589,"Stade de la Beaujoire - Louis Fonteneau","Hakim Ben El Hadj Salem","Match Report",NA
27,"Sun","2022-03-06","15:00","Reims",0.6,"1-1",0.8,"Strasbourg",10405,"Stade Auguste-Delaune II","Jérémie Pignard","Match Report",NA
27,"Sun","2022-03-06","15:00","Rennes",1.7,"2-0",0.3,"Angers",27693,"Roazhon Park","Benoît Millot","Match Report",NA
27,"Sun","2022-03-06","15:00","Bordeaux",0.8,"0-2",2.4,"Troyes",20287,"Stade Matmut-Atlantique","Ruddy Buquet","Match Report",NA
